GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking_gui,ak.ui,TransactionHistoryController,97,0,2,0,29,0,6,0,5,0
banking_gui,ak.ui,AddTransactionController,268,0,42,0,76,0,28,0,6,0
banking_gui,ak.ui,AccountController,146,0,2,0,51,0,8,0,7,0
banking_gui,ak.ui,SignInController,145,0,20,0,44,0,14,0,4,0
banking_gui,ak.ui,AddLoanController,175,0,20,0,55,0,15,0,5,0
banking_gui,ak.ui,LoanRequestController,116,0,8,0,39,0,10,0,6,0
banking_gui,ak.ui,AddAccountController,208,0,24,0,65,0,17,0,5,0
banking_gui,ak.ui,AdminController,232,0,10,0,78,0,16,0,11,0
banking_gui,ak.ui,RegisterController,135,0,16,0,40,0,11,0,3,0
banking_gui,ak.ui,TransferController,156,0,14,0,51,0,13,0,6,0
banking_gui,ak.ui,DashboardController,114,0,2,0,38,0,7,0,6,0
banking_gui,ak.ui,ReviewLoanRequestsController,445,0,38,0,113,0,29,0,10,0
banking_gui,ak.Authentication,PasswordUtils,10,48,0,2,3,7,1,3,1,2
banking_gui,ak.Authentication,AuthService,0,67,0,8,0,15,0,8,0,4
banking_gui,ak.admins,AdminManager,18,134,7,7,9,35,7,4,0,4
banking_gui,ak.admins,Admin,0,88,0,0,0,23,0,14,0,14
banking_gui,ak.database,DBconnection,15,83,2,4,5,17,3,4,1,3
banking_gui,ak.accounts,AccountManager,582,302,60,18,168,74,42,13,8,8
banking_gui,ak.accounts,Account,56,139,8,12,11,36,10,14,2,12
banking_gui,ak.accounts,CheckingAccount,20,84,4,10,4,20,4,7,0,4
banking_gui,ak.accounts,SavingsAccount,25,97,5,11,5,25,5,8,0,5
banking_gui,ak.transactions,Transaction,34,113,1,21,8,28,3,19,2,9
banking_gui,ak.transactions,TransactionManager,154,190,20,18,41,50,18,9,4,4
banking_gui,ak.financial,InterestCalculator,23,58,4,10,5,12,5,5,1,2
banking_gui,ak.loans,LoanDetails,0,15,0,0,0,6,0,3,0,3
banking_gui,ak.loans,LoanManager,143,255,8,14,34,67,7,17,2,11
banking_gui,ak.loans,Loan,57,149,0,20,9,34,1,21,1,11
banking_gui,ak.loans,LoanRequest,0,33,0,0,0,12,0,6,0,6
banking_gui,ak.loans,LoanRequestManager,21,156,7,9,11,42,7,6,0,5
banking_gui,ak.customer,Customer,222,133,52,24,57,36,46,9,11,6
banking_gui,ak.customer,CustomerManager,541,142,53,5,151,39,36,5,8,4
banking_gui,ak,App,50,0,0,0,15,0,6,0,6,0
